"cidr","hostmin","hostmax","vendor"
"1.178.72.0/21","1.178.72.0","1.178.79.255","AWS"
"3.0.0.0/15","3.0.0.0","3.1.255.255","AWS"
"3.0.0.0/15","3.0.0.0","3.1.255.255","AWS"
"3.0.5.32/29","3.0.5.32","3.0.5.39","AWS"
"3.0.5.224/27","3.0.5.224","3.0.5.255","AWS"
"3.2.0.0/24","3.2.0.0","3.2.0.255","AWS"
"3.2.0.0/24","3.2.0.0","3.2.0.255","AWS"
"3.2.1.0/24","3.2.1.0","3.2.1.255","AWS"
"3.2.2.0/24","3.2.2.0","3.2.2.255","AWS"
"3.2.2.0/24","3.2.2.0","3.2.2.255","AWS"
"3.2.3.0/24","3.2.3.0","3.2.3.255","AWS"
"3.2.3.0/24","3.2.3.0","3.2.3.255","AWS"
"3.2.4.0/23","3.2.4.0","3.2.5.255","AWS"
"3.2.4.0/23","3.2.4.0","3.2.5.255","AWS"
"3.2.8.0/21","3.2.8.0","3.2.15.255","AWS"
"3.2.8.0/21","3.2.8.0","3.2.15.255","AWS"
"3.2.48.0/24","3.2.48.0","3.2.48.255","AWS"
"3.2.48.0/24","3.2.48.0","3.2.48.255","AWS"
"3.2.49.0/24","3.2.49.0","3.2.49.255","AWS"
"3.2.49.0/24","3.2.49.0","3.2.49.255","AWS"
"3.2.50.0/24","3.2.50.0","3.2.50.255","AWS"
"3.2.50.0/24","3.2.50.0","3.2.50.255","AWS"
"3.2.51.0/24","3.2.51.0","3.2.51.255","AWS"
"3.2.51.0/24","3.2.51.0","3.2.51.255","AWS"
"3.2.52.0/24","3.2.52.0","3.2.52.255","AWS"
"3.2.52.0/24","3.2.52.0","3.2.52.255","AWS"
"3.2.53.0/24","3.2.53.0","3.2.53.255","AWS"
"3.2.53.0/24","3.2.53.0","3.2.53.255","AWS"
"3.2.54.0/24","3.2.54.0","3.2.54.255","AWS"
"3.2.54.0/24","3.2.54.0","3.2.54.255","AWS"
